len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
1,0,0.0,,,,13.0,-13.0,
1,1,1.0,,,,11.0,-11.0,
5,2,0.4,,,,10.5,-10.5,
2,1,0.5,,,,10.0,-10.0,
6,0,0.0,,,,9.5,-9.5,
4,0,0.0,0.23722222222222222,,,9.0,-9.0,
3,0,0.0,0.2515079365079365,,,8.5,-8.5,
2,0,0.0,0.1890079365079365,,,8.0,-8.0,
9,2,0.2222222222222222,0.1740079365079365,0.19440476190476194,0.805595238095238,7.5,-7.5,0.5
12,3,0.25,0.15734126984126987,0.1894246031746032,0.8105753968253968,7.0,-7.0,0.5
7,1,0.14285714285714285,0.15734126984126987,0.18761904761904766,0.8123809523809523,6.5,-6.5,0.5
16,6,0.375,0.20734126984126985,0.20317460317460323,0.7968253968253968,6.0,-6.0,0.5
12,3,0.25,0.2406746031746032,0.2266173641173642,0.7733826358826358,5.5,-5.5,0.5
6,2,0.3333333333333333,0.28234126984126984,0.2546236171236172,0.7453763828763829,5.0,-5.0,0.5
6,0,0.0,0.31466450216450215,0.2902489177489178,0.7097510822510822,4.5,-4.5,0.5
8,4,0.5,0.3253787878787879,0.31795755170755174,0.6820424482924483,4.0,-4.0,0.5
24,8,0.3333333333333333,0.37109307359307364,0.33594396344396343,0.6640560365560366,3.5,-3.5,0.5
60,25,0.4166666666666667,0.37359307359307364,0.35254148629148635,0.6474585137085136,3.0,-3.0,0.5
33,18,0.5454545454545454,0.3485930735930737,0.3716465405939091,0.6283534594060909,2.5,-2.5,0.5
14,5,0.35714285714285715,0.381926406926407,0.38952143616617313,0.6104785638338268,2.0,-2.0,0.5
10,6,0.6,0.42929482797903856,0.4016291359712414,0.5983708640287586,1.5,-1.5,0.5
25,10,0.4,0.43262816131237186,0.4147090579985319,0.585290942001468,1.0,-1.0,0.5
1,0,0.0,0.44373927242348304,0.43337755811440043,0.5666224418855996,0.0,0.0,0.5
12,8,0.6666666666666666,0.45207260575681635,0.45076539444960523,0.5492346055503947,0.1,0.1,0.5
19,9,0.47368421052631576,0.46060407428828487,0.4589251606093714,0.5410748393906286,1.0,1.0,0.5
15,8,0.5333333333333333,0.4862534249376355,0.47236270454691537,0.5276372954530846,1.5,1.5,0.5
9,4,0.4444444444444444,0.4782534249376356,0.4961706188548296,0.5038293811451704,2.0,2.0,0.5
42,21,0.5,0.5132534249376356,0.5172007553849661,0.4827992446150339,2.5,2.5,0.5
65,41,0.6307692307692307,0.586586758270969,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
44,27,0.6136363636363636,0.5782534249376355,0.5634301348283044,0.4365698651716956,3.5,3.5,0.5
25,13,0.52,0.6004502212763083,0.5926709114260603,0.4073290885739397,4.0,4.0,0.5
24,18,0.75,0.6237835546096416,0.6219116880238162,0.37808831197618376,4.5,4.5,0.5
15,11,0.7333333333333333,0.6536980845241716,0.639955883424991,0.360044116575009,5.0,5.0,0.5
24,14,0.5833333333333334,0.6886980845241715,0.6574950283211153,0.3425049716788847,5.5,5.5,0.5
23,16,0.6956521739130435,0.6948519306780178,0.6760013738274608,0.32399862617253916,6.0,6.0,0.5
30,23,0.7666666666666667,0.6834882943143814,0.6872097395358265,0.31279026046417346,6.5,6.5,0.5
39,29,0.7435897435897436,0.7114882943143813,0.69602494285103,0.30397505714897,7.0,7.0,0.5
20,17,0.85,0.6910337488598358,0.7031734794995667,0.29682652050043334,7.5,7.5,0.5
13,9,0.6923076923076923,0.7065893044153915,0.7143688388905781,0.2856311611094219,8.0,8.0,0.5
4,2,0.5,0.7315893044153914,0.7202359154533068,0.2797640845466932,8.5,8.5,0.5
15,12,0.8,0.7620240870240871,0.7223764962895398,0.2776235037104602,9.0,9.0,0.5
11,6,0.5454545454545454,0.7186907536907536,0.7304261680348638,0.2695738319651362,9.5,9.5,0.5
9,8,0.8888888888888888,0.7243317793317793,0.7354558967602447,0.2645441032397553,10.0,10.0,0.5
6,5,0.8333333333333334,0.7393317793317793,0.7428004403004405,0.25719955969955954,10.5,10.5,0.5
2,2,1.0,0.7367676767676767,0.7484058534058535,0.2515941465941465,11.0,11.0,0.5
3,1,0.3333333333333333,0.7756565656565655,0.7688092463092464,0.2311907536907536,11.5,11.5,0.5
5,4,0.8,0.7956565656565655,0.7901243201243203,0.20987567987567968,12.0,12.0,0.5
2,2,1.0,0.8411111111111109,0.8117171717171718,0.18828282828282816,12.5,12.5,0.5
3,2,0.6666666666666666,0.852222222222222,0.8337373737373738,0.16626262626262622,13.0,13.0,0.5
9,8,0.8888888888888888,0.8688888888888886,,,13.5,13.5,
6,6,1.0,0.8688888888888886,,,14.0,14.0,
1,1,1.0,,,,14.5,14.5,
2,2,1.0,,,,15.0,15.0,
2,2,1.0,,,,15.5,15.5,
2,2,1.0,,,,16.5,16.5,
